,playerId,firstName,lastName,country,dateOfBirth,startNba,heightInMeters,weightInKilograms
427,47,Michael,Beasley,USA,1989-01-09,2008,0.0,0.0
430,46,Malik,Beasley,USA,1996-11-26,2016,1.93,84.8
434,45,Bradley,Beal,USA,1993-06-28,2012,1.9,93.9
436,44,Kent,Bazemore,USA,1989-07-01,2012,1.93,88.5
440,42,Aron,Baynes,Australia,1986-12-09,2012,2.08,117.9
441,41,Jerryd,Bayless,0,0,0,0.0,0.0
445,40,Nicolas,Batum,France,1988-12-14,2008,2.06,104.3
448,39,Brandon,Bass,USA,1985-04-30,2005,2.03,113.4
449,38,Will,Barton,USA,1991-01-06,2012,1.96,82.1
451,36,Harrison,Barnes,USA,1992-05-30,2012,2.03,102.1
455,35,J.J.,Barea,Puerto Rico,1984-06-26,2006,1.78,81.6
457,34,Leandro,Barbosa,Brazil,1982-11-28,2003,1.9,88.0
458,33,Wade,Baldwin IV,USA,1996-03-29,2016,1.93,90.7
461,32,Ron,Baker,USA,1993-03-30,2016,0.0,0.0
462,31,Cameron,Bairstow,Australia,1990-12-07,2014,2.06,113.4
463,30,Luke,Babbitt,0,0,0,0.0,0.0
467,29,Jeff,Ayres,USA,1987-04-29,2009,2.06,113.4
470,28,D.J.,Augustin,USA,1987-11-10,2008,1.8,83.0
472,27,Omer,Asik,0,0,0,0.0,0.0
473,26,Netanel,Artzi,0,0,0,0.0,0.0
475,25,Darrell,Arthur,USA,1988-03-25,2008,2.06,106.6
480,24,Egehan,Arna,0,0,0,0.0,0.0
481,23,Trevor,Ariza,USA,1985-06-30,2004,2.03,97.5
484,22,Joel,Anthony,Canada,1982-08-09,2007,2.06,111.1
487,20,Giannis,Antetokounmpo,Greece,1994-12-06,2013,2.11,109.8
489,19,Ryan,Anderson,USA,1988-05-06,2008,0.0,0.0
492,18,Kyle,Anderson,USA,1993-09-20,2014,2.06,104.3
493,17,Justin,Anderson,USA,1993-11-19,2015,0.0,0.0
495,16,James,Anderson,USA,1989-03-25,2010,1.98,96.6
498,15,Alan,Anderson,USA,1982-10-16,2005,1.98,99.8
502,13,Lou,Amundson,USA,1982-12-07,2006,2.06,99.8
504,12,Al-Farouq,Aminu,USA,1990-09-21,2010,2.03,99.8
507,11,Tony,Allen,USA,1982-01-11,2004,1.93,96.6
510,10,Lavoy,Allen,0,0,0,0.0,0.0
512,9,Cliff,Alexander,United States,1995-11-16,2015,2.03,108.9
518,8,LaMarcus,Aldridge,USA,1985-07-19,2006,2.11,113.4
522,7,Cole,Aldrich,0,0,0,0.0,0.0
525,6,Alexis,Ajinca,0,0,0,0.0,0.0
533,5,Arron,Afflalo,0,0,0,0.0,0.0
566,4,Steven,Adams,New Zealand,1993-07-20,2013,2.11,120.2
593,3,Jordan,Adams,United States,1994-07-08,2014,1.96,94.8
608,2,Quincy,Acy,USA,1990-10-06,2012,2.01,108.9
661,1,Alex,Abrines,Spain,1993-08-01,2016,0.0,0.0
